set term gif size 8000, 8000 font "Times-Roman,90"
set output "chen_traj_img.gif"
set xlabel "x"
set ylabel "y"
set zlabel "z"
set xrange [-40:40]
set yrange [-40:40]
set zrange [0:60]
splot '-' with line
-10.52709095 -10.96759525 24.2336742
-10.52785159 -10.96652021 24.23578775
-10.52860894 -10.96544155 24.23790054
-10.52936302 -10.96435928 24.24001258
-10.53011381 -10.9632734 24.24212386
-10.53086132 -10.96218391 24.24423437
-10.53160556 -10.96109081 24.24634412
-10.53234651 -10.9599941 24.2484531
-10.53308419 -10.95889379 24.2505613
-10.53381859 -10.95778987 24.25266873
-10.5345497 -10.95668235 24.25477538
-10.53527755 -10.95557122 24.25688124
-10.53600211 -10.9544565 24.25898631
-10.5367234 -10.95333817 24.2610906
-10.53744141 -10.95221625 24.26319409
-10.53815614 -10.95109072 24.26529679
-10.5388676 -10.94996161 24.26739868
-10.53957578 -10.94882889 24.26949978
-10.54028069 -10.94769258 24.27160006
-10.54098232 -10.94655269 24.27369954
-10.54168068 -10.9454092 24.2757982
-10.54237576 -10.94426212 24.27789605
-10.54306757 -10.94311145 24.27999307
-10.54375611 -10.94195719 24.28208928
-10.54444137 -10.94079935 24.28418466
-10.54512337 -10.93963793 24.2862792
-10.54580209 -10.93847292 24.28837292
-10.54647753 -10.93730433 24.2904658
-10.54714971 -10.93613216 24.29255784
-10.54781862 -10.93495641 24.29464903
-10.54848425 -10.93377708 24.29673938
-10.54914662 -10.93259418 24.29882889
-10.54980571 -10.9314077 24.30091754
-10.55046154 -10.93021765 24.30300533
-10.55111409 -10.92902402 24.30509227
-10.55176338 -10.92782683 24.30717834
-10.5524094 -10.92662606 24.30926355
-10.55305216 -10.92542173 24.31134789
-10.55369164 -10.92421383 24.31343136
-10.55432786 -10.92300236 24.31551395
-10.55496081 -10.92178733 24.31759566
-10.5555905 -10.92056873 24.3196765
-10.55621692 -10.91934658 24.32175645
-10.55684007 -10.91812086 24.32383551
-10.55745996 -10.91689159 24.32591368
-10.55807658 -10.91565875 24.32799096
-10.55868994 -10.91442236 24.33006734
